# 20190926-164800-Voltage
# s,V
0.000945568084717,3.068224
0.0826804637909,3.068224
0.150302886963,3.068224
0.23141002655,3.068224
1.0238173008,3.067842
2.02661395073,3.068224
3.02925491333,3.068224
4.03201723099,3.068224
5.03484249115,3.068224
6.03743219376,3.068224
7.04050183296,3.068224
8.0436501503,3.068988
9.04673457146,3.068606
10.0496168137,3.068988
11.0527114868,3.068606
12.0557975769,3.068606
13.0588662624,3.068606
14.0619139671,3.068988
15.0649621487,3.068606
16.0679969788,3.068988
17.0711088181,3.068988
18.0740497112,3.068606
19.0771434307,3.068606
20.0802388191,3.068606
21.083281517,3.068988
22.0863721371,3.068988
23.0893931389,3.068988
24.0923728943,3.068606
25.0956029892,3.068988
26.0986301899,3.068988
27.101634264,3.068988
28.104647398,3.068988
29.1076865196,3.068606
30.1107990742,3.068988
31.1130199432,3.068606
32.116733551,3.068988
33.1198985577,3.068988
34.1230006218,3.068606
35.1256551743,3.068988
36.1290535927,3.068606
37.1320841312,3.068606
38.1352050304,3.068988
39.1381659508,3.068606
40.1412181854,3.068988
41.1441831589,3.068988
42.1473176479,3.068988
43.1504547596,3.068606
44.1534116268,3.068988
45.1564497948,3.068606
46.1594679356,3.068606
47.1626014709,3.068606
48.1655774117,3.068606
49.1686432362,3.068606
50.1716706753,3.068606
51.1747684479,3.068988
52.1777830124,3.068606
53.1808154583,3.068988
54.1838524342,3.068988
55.1869592667,3.068988
56.1899106503,3.068988
57.192990303,3.068988
58.1959955692,3.068988
59.1991765499,3.068606
60.2020940781,3.068988
61.2051646709,3.068606
62.208189249,3.068988
63.2112987041,3.068606
64.2143108845,3.068988
65.2173163891,3.068988
66.220344305,3.068606
67.2233905792,3.068988
68.2264947891,3.068606
69.2294797897,3.068988
70.2324390411,3.068988
71.2354412079,3.068988
72.2386603355,3.068988
73.2416024208,3.068606
74.2446739674,3.068988
75.2476494312,3.068988
76.2507636547,3.068988
77.2537202835,3.068606
78.2568085194,3.068988
79.2598137856,3.068988
80.2628655434,3.068988
81.2659080029,3.068988
82.2689340115,3.068988
83.2720103264,3.068606
84.2751181126,3.068988
85.2780609131,3.068988
86.2810900211,3.068988
87.2840909958,3.068988
88.2872385979,3.068988
89.2902317047,3.068988
90.2932407856,3.068988
91.2962508202,3.068988
92.2992942333,3.068606
93.3024296761,3.068988
94.3052592278,3.068988
95.3084039688,3.068988
96.3114221096,3.068988
97.3146026134,3.068988
98.3175413609,3.068988
99.3205523491,3.068988
100.323549747,3.068988
101.326695919,3.068988
102.329607964,3.068606
103.332650185,3.068606
104.335674286,3.068988
105.338797092,3.068988
106.341746569,3.068988
107.344713688,3.068988
108.347707033,3.068988
109.351097822,3.068988
110.353839874,3.068988
111.356849194,3.068988
112.359859943,3.068988
113.363118649,3.068988
114.365860224,3.068988
115.368978024,3.068988
116.371917486,3.068988
117.375135899,3.068988
118.377916813,3.068988
119.381080627,3.068988
120.3840487,3.068988
121.387212992,3.068988
122.390105247,3.068988
123.39296484,3.068988
124.395473719,3.068988
125.398850918,3.068988
126.401677608,3.068988
127.404852629,3.068606
128.408045053,3.068606
129.411350727,3.068988
130.414501667,3.068988
131.417068958,3.068988
132.420552254,3.068606
133.423480749,3.068988
134.426512241,3.068988
