# 20190926-164803-Current\s,A
0.000945568084717,3.214148
0.0826804637909,3.214148
0.150302886963,3.214148
0.23141002655,3.21453
1.0238173008,3.214148
2.02661395073,3.21453
3.02925491333,3.214148
4.03201723099,3.21453
5.03484249115,3.214148
6.03743219376,3.21453
7.04050183296,3.21453
8.0436501503,3.21453
9.04673457146,3.21453
10.0496168137,3.21453
11.0527114868,3.21453
12.0557975769,3.21453
13.0588662624,3.21453
14.0619139671,3.21453
15.0649621487,3.21453
16.0679969788,3.214148
17.0711088181,3.21453
18.0740497112,3.214148
19.0771434307,3.21453
20.0802388191,3.21453
21.083281517,3.21453
22.0863721371,3.21453
23.0893931389,3.21453
24.0923728943,3.214148
25.0956029892,3.21453
26.0986301899,3.21453
27.101634264,3.21453
28.104647398,3.214148
29.1076865196,3.214148
30.1107990742,3.21453
31.1130199432,3.214148
32.116733551,3.21453
33.1198985577,3.214148
34.1230006218,3.214148
35.1256551743,3.214148
36.1290535927,3.214148
37.1320841312,3.214148
38.1352050304,3.214148
39.1381659508,3.214148
40.1412181854,3.214148
41.1441831589,3.214148
42.1473176479,3.214148
43.1504547596,3.213766
44.1534116268,3.214148
45.1564497948,3.214148
46.1594679356,3.213766
47.1626014709,3.213766
48.1655774117,3.213766
49.1686432362,3.213766
50.1716706753,3.214148
51.1747684479,3.214148
52.1777830124,3.213766
53.1808154583,3.213766
54.1838524342,3.214148
55.1869592667,3.213766
56.1899106503,3.214148
57.192990303,3.213766
58.1959955692,3.213766
59.1991765499,3.213766
60.2020940781,3.214148
61.2051646709,3.213766
62.208189249,3.213766
63.2112987041,3.213766
64.2143108845,3.213766
65.2173163891,3.213766
66.220344305,3.213766
67.2233905792,3.213766
68.2264947891,3.213766
69.2294797897,3.213766
70.2324390411,3.214148
71.2354412079,3.214148
72.2386603355,3.213766
73.2416024208,3.214148
74.2446739674,3.213766
75.2476494312,3.213766
76.2507636547,3.213766
77.2537202835,3.213766
78.2568085194,3.214148
79.2598137856,3.213766
80.2628655434,3.213766
81.2659080029,3.213766
82.2689340115,3.213766
83.2720103264,3.213766
84.2751181126,3.213766
85.2780609131,3.214148
86.2810900211,3.214148
87.2840909958,3.213766
88.2872385979,3.214148
89.2902317047,3.213766
90.2932407856,3.213766
91.2962508202,3.213766
92.2992942333,3.213384
93.3024296761,3.213766
94.3052592278,3.213766
95.3084039688,3.214148
96.3114221096,3.213766
97.3146026134,3.213384
98.3175413609,3.213384
99.3205523491,3.213766
100.323549747,3.213384
101.326695919,3.213766
102.329607964,3.213766
103.332650185,3.213384
104.335674286,3.213766
105.338797092,3.213384
106.341746569,3.213766
107.344713688,3.213766
108.347707033,3.213384
109.351097822,3.213384
110.353839874,3.213766
111.356849194,3.213766
112.359859943,3.213384
113.363118649,3.213766
114.365860224,3.213384
115.368978024,3.213384
116.371917486,3.213384
117.375135899,3.213384
118.377916813,3.213766
119.381080627,3.213384
120.3840487,3.213384
121.387212992,3.213384
122.390105247,3.213384
123.39296484,3.213384
124.395473719,3.213384
125.398850918,3.213384
126.401677608,3.213384
127.404852629,3.213384
128.408045053,3.213384
129.411350727,3.213384
130.414501667,3.213384
131.417068958,3.213384
132.420552254,3.213002
133.423480749,3.213384
134.426512241,3.213384
135.429462671,3.213002
136.432356596,3.213384
137.434791327,3.213384
138.438774347,3.213384
139.441555738,3.213384
140.444557428,3.213384
141.447588682,3.213384
142.450770617,3.213384
143.453632116,3.213384
144.456414938,3.213002
145.459739447,3.213384
146.462772608,3.213002
147.4660604,3.213002
148.469025373,3.213384
149.472306967,3.213002
150.475249052,3.213002
151.47816205,3.213384
152.481198311,3.213384
153.483853102,3.213002
154.487288952,3.213384
155.489885569,3.213002
156.493229389,3.213384
157.495881319,3.213002
158.499279022,3.213002
159.501963139,3.213384
160.505322218,3.213002
161.508320808,3.213002
162.511369705,3.213384
163.514457226,3.213002
164.51738739,3.213002
165.520401955,3.213002
166.523424149,3.213002
167.526128531,3.213002
168.529466867,3.213002
169.532473564,3.213002
170.535380125,3.213002
171.538139582,3.213002
172.541536093,3.213002
173.544548273,3.213002
174.547509909,3.213002
175.550668478,3.213002
176.553587437,3.213002
177.556686401,3.213002
178.559525728,3.213002
179.562288284,3.21262
180.565656662,3.213002
181.568650961,3.213002
182.571668863,3.213002
183.574384689,3.213002
184.577690601,3.213002
185.580676079,3.213002
186.583697796,3.213002
187.586784124,3.213384
188.589713097,3.213002
189.592740536,3.213002
190.595735073,3.213002
191.598719597,3.213002
192.60176754,3.213002
193.604763985,3.213002
194.607814074,3.21262
195.610901594,3.213002
196.614176989,3.21262
197.617125273,3.21262
198.620221376,3.213002
199.623217344,3.213002
200.626228809,3.21262
201.629233837,3.213002
202.632250786,3.21262
203.634924173,3.21262
204.638231993,3.213002
205.64128828,3.21262
206.64428091,3.21262
207.646996021,3.213002
208.65041995,3.21262
209.652997971,3.21262
210.656357765,3.213002
211.659353733,3.213002
212.662405729,3.213002
213.665297985,3.213002
214.668364525,3.21262
215.671308517,3.21262
216.6744771,3.21262
217.676990271,3.213002
218.680384398,3.21262
219.683348656,3.213002
220.686472416,3.212238
221.689090967,3.212238
222.692421913,3.21262
223.695432663,3.21262
224.698524237,3.21262
225.701454639,3.21262
226.704466343,3.21262
227.707450867,3.21262
228.710561275,3.21262
229.713461876,3.21262
230.716483355,3.213002
231.719522715,3.21262
232.722573757,3.21262
233.725216627,3.21262
234.728480816,3.21262
235.731497049,3.212238
236.734600782,3.212238
237.73777914,3.21262
238.740845442,3.21262
239.743882418,3.21262
240.746954203,3.21262
241.749881029,3.21262
242.752889633,3.21262
243.75586462,3.21262
244.758992672,3.21262
245.76199007,3.212238
246.764914751,3.212238
247.767895699,3.21262
248.770992994,3.212238
249.773937464,3.212238
250.776866436,3.212238
251.779925108,3.212238
252.782984734,3.212238
253.785929203,3.212238
254.788951635,3.212238
255.791933298,3.212238
256.795018435,3.212238
257.797926188,3.212238
258.800955057,3.212238
259.803910255,3.21262
260.80706954,3.21262
261.809961319,3.21262
262.812945843,3.212238
263.815969467,3.212238
264.819045067,3.212238
265.821959972,3.21262
266.824863434,3.21262
267.827881098,3.21262
268.831077814,3.212238
269.833986998,3.212238
270.836972952,3.212238
271.840003014,3.212238
272.843041658,3.212238
273.845937729,3.21262
274.848957062,3.212238
275.851961374,3.212238
276.855035067,3.212238
277.858389616,3.21262
278.861385345,3.212238
279.864302635,3.212238
280.867362976,3.212238
281.870034933,3.21262
282.873394012,3.212238
283.876095295,3.212238
284.879321575,3.212238
285.882244349,3.212238
286.885286808,3.212238
287.888289928,3.212238
288.891267061,3.212238
289.894394159,3.212238
290.897307396,3.212238
291.900311232,3.212238
292.903371811,3.212238
293.906341553,3.212238
294.909273148,3.212238
295.912053347,3.212238
296.915285349,3.212238
297.918339729,3.212238
298.921288252,3.211856
299.92429018,3.212238
300.927291393,3.212238
301.93040967,3.212238
302.93329072,3.212238
303.936007738,3.212238
304.939256191,3.211856
305.941617966,3.212238
306.944858313,3.212238
307.94768548,3.212238
308.950923681,3.212238
309.95399332,3.212238
310.956975698,3.211856
311.959893227,3.212238
312.962907076,3.212238
313.965869665,3.212238
314.969256401,3.211856
315.972204685,3.211474
316.975239038,3.211856
317.978593349,3.212238
318.981533766,3.211856
319.984525681,3.211856
320.987514496,3.212238
321.99057579,3.212238
322.993518829,3.211856
323.996492863,3.211856
324.999526978,3.211856
326.002604723,3.211856
327.005522013,3.211856
328.00849247,3.211856
329.011508703,3.211856
330.014573336,3.211856
331.01749897,3.211856
332.020501852,3.211474
333.023472548,3.211474
334.026571512,3.211856
335.029436588,3.211856
336.032485723,3.211856
337.03546524,3.211856
338.038532972,3.212238
339.041459799,3.211856
340.044448137,3.211856
341.047425508,3.211856
342.050508499,3.211856
343.053348303,3.211856
344.056385994,3.211856
345.05941391,3.211856
346.06246829,3.211856
347.06540823,3.211856
348.068377495,3.211856
349.071377277,3.211856
350.074444056,3.211856
351.077338457,3.211474
352.080377817,3.211856
353.083351851,3.211856
354.086418152,3.211474
355.08934164,3.211474
356.092355967,3.211474
357.095299006,3.211474
358.098399401,3.211856
359.101326704,3.211474
360.104607582,3.211474
361.10767293,3.211856
362.110685825,3.211856
363.113693476,3.211474
364.116634846,3.211856
365.119638443,3.211474
366.122793436,3.211474
367.125623465,3.211474
368.128570795,3.211474
369.131552696,3.211474
370.134619236,3.211474
371.137533665,3.211474
372.140522718,3.211474
373.143532991,3.211474
374.146605253,3.211474
375.149514914,3.211474
376.152494192,3.211474
377.155490875,3.211474
378.158604622,3.211856
379.161134005,3.211474
380.16443634,3.211474
381.16718936,3.211474
382.170543432,3.211474
383.173431873,3.211474
384.176364422,3.211474
385.179402113,3.211474
386.182560444,3.211474
387.18537569,3.211474
388.18836236,3.211474
389.19139719,3.211474
390.194454908,3.211474
391.197362423,3.211474
392.200321674,3.211474
393.203698397,3.211474
394.206764221,3.211092
395.209625721,3.211092
396.212635279,3.211474
397.215634346,3.211474
398.218698978,3.211474
399.221620083,3.211092
400.224575996,3.211474
401.227610826,3.211474
402.230647326,3.211474
403.233558655,3.211474
404.236559868,3.211092
405.239539862,3.211474
406.242629051,3.211092
407.245510578,3.211474
408.248534441,3.211474
409.251520872,3.211474
410.254580736,3.211092
411.257497549,3.211092
412.26044035,3.211474
413.263461351,3.211092
414.26652813,3.211474
415.269430161,3.211092
416.272425413,3.211474
417.275308609,3.211092
418.278480768,3.211092
419.281380653,3.211092
420.284370899,3.211092
421.287353277,3.211092
422.290419579,3.211474
423.293692589,3.211092
424.296657324,3.211474
425.299634933,3.211092
426.302695751,3.211092
427.305556297,3.211474
428.308610678,3.211092
429.311645746,3.211092
430.314615965,3.211092
431.317528486,3.211092
432.320571899,3.211092
433.323531151,3.211092
434.326612949,3.211092
435.329519272,3.211092
436.332543135,3.211092
437.335432291,3.211092
438.3385818,3.211474
439.341495752,3.211092
440.344454527,3.211092
441.347481966,3.211092
442.350533962,3.211092
443.35340023,3.211092
444.35639286,3.211092
445.359322548,3.211092
446.362434149,3.211092
447.365352392,3.211092
448.368324757,3.211092
449.371281624,3.211092
450.374370813,3.211092
451.377314091,3.211092
452.379573822,3.21071
453.383293867,3.211092
454.386842728,3.211092
455.389483213,3.211092
456.392561197,3.211092
457.395512342,3.211092
458.398633718,3.211092
459.40109539,3.21071
460.404511213,3.211092
461.407464266,3.211092
462.410539627,3.211092
463.413506269,3.211092
464.419808626,3.211092
465.419116974,3.21071
466.422118425,3.21071
467.425349474,3.211092
468.427836657,3.211092
