# 20190926-164806-Temperature\s,Kelvin
0.000945568084717,3.202306
0.0826804637909,3.202688
0.150302886963,3.202306
0.23141002655,3.202688
1.0238173008,3.202688
2.02661395073,3.202306
3.02925491333,3.202306
4.03201723099,3.202306
5.03484249115,3.202688
6.03743219376,3.202688
7.04050183296,3.202306
8.0436501503,3.20307
9.04673457146,3.202688
10.0496168137,3.20307
11.0527114868,3.202688
12.0557975769,3.20307
13.0588662624,3.20307
14.0619139671,3.20307
15.0649621487,3.20307
16.0679969788,3.20307
17.0711088181,3.20307
18.0740497112,3.20307
19.0771434307,3.20307
20.0802388191,3.20307
21.083281517,3.20307
22.0863721371,3.20307
23.0893931389,3.202688
24.0923728943,3.20307
25.0956029892,3.20307
26.0986301899,3.20307
27.101634264,3.20307
28.104647398,3.203452
29.1076865196,3.202688
30.1107990742,3.20307
31.1130199432,3.20307
32.116733551,3.20307
33.1198985577,3.20307
34.1230006218,3.202688
35.1256551743,3.20307
36.1290535927,3.202688
37.1320841312,3.20307
38.1352050304,3.20307
39.1381659508,3.20307
40.1412181854,3.20307
41.1441831589,3.20307
42.1473176479,3.20307
43.1504547596,3.20307
44.1534116268,3.20307
45.1564497948,3.20307
46.1594679356,3.20307
47.1626014709,3.202688
48.1655774117,3.20307
49.1686432362,3.20307
50.1716706753,3.20307
51.1747684479,3.20307
52.1777830124,3.202688
53.1808154583,3.202688
54.1838524342,3.20307
55.1869592667,3.20307
56.1899106503,3.20307
57.192990303,3.20307
58.1959955692,3.20307
59.1991765499,3.202688
60.2020940781,3.202688
61.2051646709,3.20307
62.208189249,3.20307
63.2112987041,3.20307
64.2143108845,3.20307
65.2173163891,3.202688
66.220344305,3.20307
67.2233905792,3.20307
68.2264947891,3.20307
69.2294797897,3.20307
70.2324390411,3.20307
71.2354412079,3.20307
72.2386603355,3.20307
73.2416024208,3.20307
74.2446739674,3.20307
75.2476494312,3.20307
76.2507636547,3.20307
77.2537202835,3.20307
78.2568085194,3.20307
79.2598137856,3.20307
80.2628655434,3.20307
81.2659080029,3.20307
82.2689340115,3.203452
83.2720103264,3.20307
84.2751181126,3.20307
85.2780609131,3.20307
86.2810900211,3.20307
87.2840909958,3.20307
88.2872385979,3.20307
89.2902317047,3.20307
90.2932407856,3.20307
91.2962508202,3.20307
92.2992942333,3.202688
93.3024296761,3.203452
94.3052592278,3.20307
95.3084039688,3.20307
96.3114221096,3.20307
97.3146026134,3.20307
98.3175413609,3.20307
99.3205523491,3.20307
100.323549747,3.20307
101.326695919,3.203452
102.329607964,3.203452
103.332650185,3.20307
104.335674286,3.20307
105.338797092,3.20307
106.341746569,3.20307
107.344713688,3.20307
108.347707033,3.20307
109.351097822,3.20307
110.353839874,3.20307
111.356849194,3.20307
112.359859943,3.20307
113.363118649,3.20307
114.365860224,3.20307
115.368978024,3.20307
116.371917486,3.20307
117.375135899,3.20307
118.377916813,3.20307
119.381080627,3.20307
120.3840487,3.20307
121.387212992,3.203452
122.390105247,3.20307
123.39296484,3.20307
124.395473719,3.20307
125.398850918,3.20307
126.401677608,3.20307
127.404852629,3.20307
128.408045053,3.20307
129.411350727,3.20307
130.414501667,3.20307
131.417068958,3.20307
132.420552254,3.20307
133.423480749,3.20307
134.426512241,3.20307
135.429462671,3.202688
136.432356596,3.20307
137.434791327,3.20307
138.438774347,3.203452
139.441555738,3.20307
140.444557428,3.20307
141.447588682,3.20307
142.450770617,3.20307
143.453632116,3.20307
144.456414938,3.20307
145.459739447,3.20307
146.462772608,3.20307
147.4660604,3.20307
148.469025373,3.20307
149.472306967,3.20307
150.475249052,3.20307
151.47816205,3.20307
152.481198311,3.20307
153.483853102,3.20307
154.487288952,3.20307
155.489885569,3.203452
156.493229389,3.20307
157.495881319,3.20307
158.499279022,3.20307
159.501963139,3.20307
160.505322218,3.20307
161.508320808,3.20307
162.511369705,3.203452
163.514457226,3.20307
164.51738739,3.20307
165.520401955,3.20307
166.523424149,3.20307
167.526128531,3.20307
168.529466867,3.20307
169.532473564,3.20307
170.535380125,3.20307
171.538139582,3.20307
172.541536093,3.20307
173.544548273,3.20307
174.547509909,3.20307
175.550668478,3.20307
176.553587437,3.203452
177.556686401,3.20307
178.559525728,3.20307
179.562288284,3.20307
180.565656662,3.20307
181.568650961,3.20307
182.571668863,3.20307
183.574384689,3.20307
184.577690601,3.20307
185.580676079,3.20307
186.583697796,3.203452
187.586784124,3.20307
188.589713097,3.203452
189.592740536,3.203452
190.595735073,3.20307
191.598719597,3.20307
192.60176754,3.20307
193.604763985,3.20307
194.607814074,3.20307
195.610901594,3.20307
196.614176989,3.20307
197.617125273,3.20307
198.620221376,3.20307
199.623217344,3.20307
200.626228809,3.20307
201.629233837,3.20307
202.632250786,3.20307
203.634924173,3.20307
204.638231993,3.20307
205.64128828,3.20307
206.64428091,3.20307
207.646996021,3.20307
208.65041995,3.20307
209.652997971,3.20307
210.656357765,3.20307
211.659353733,3.20307
212.662405729,3.20307
213.665297985,3.203452
214.668364525,3.20307
215.671308517,3.203452
216.6744771,3.20307
217.676990271,3.203452
218.680384398,3.20307
219.683348656,3.20307
220.686472416,3.20307
221.689090967,3.20307
222.692421913,3.20307
223.695432663,3.20307
224.698524237,3.20307
225.701454639,3.20307
226.704466343,3.203452
227.707450867,3.20307
228.710561275,3.20307
229.713461876,3.20307
230.716483355,3.20307
231.719522715,3.20307
232.722573757,3.20307
233.725216627,3.20307
234.728480816,3.203452
235.731497049,3.20307
236.734600782,3.203452
237.73777914,3.20307
238.740845442,3.20307
239.743882418,3.20307
240.746954203,3.20307
241.749881029,3.20307
242.752889633,3.203452
243.75586462,3.203452
244.758992672,3.20307
245.76199007,3.20307
246.764914751,3.20307
247.767895699,3.20307
248.770992994,3.20307
249.773937464,3.20307
250.776866436,3.20307
251.779925108,3.20307
252.782984734,3.20307
253.785929203,3.202688
254.788951635,3.20307
255.791933298,3.20307
256.795018435,3.20307
257.797926188,3.203452
258.800955057,3.20307
259.803910255,3.203452
260.80706954,3.203452
261.809961319,3.203452
262.812945843,3.20307
263.815969467,3.20307
264.819045067,3.20307
265.821959972,3.20307
266.824863434,3.20307
267.827881098,3.20307
268.831077814,3.20307
269.833986998,3.20307
270.836972952,3.203452
271.840003014,3.203452
272.843041658,3.20307
273.845937729,3.20307
274.848957062,3.20307
275.851961374,3.20307
276.855035067,3.20307
277.858389616,3.203452
278.861385345,3.20307
279.864302635,3.20307
280.867362976,3.20307
281.870034933,3.20307
282.873394012,3.203452
283.876095295,3.202688
284.879321575,3.20307
285.882244349,3.203452
286.885286808,3.203452
287.888289928,3.203452
288.891267061,3.20307
289.894394159,3.203452
290.897307396,3.20307
291.900311232,3.203452
292.903371811,3.20307
293.906341553,3.203452
294.909273148,3.20307
295.912053347,3.20307
296.915285349,3.203452
297.918339729,3.20307
298.921288252,3.20307
299.92429018,3.20307
300.927291393,3.203452
301.93040967,3.20307
302.93329072,3.20307
303.936007738,3.20307
304.939256191,3.20307
305.941617966,3.203452
306.944858313,3.20307
307.94768548,3.203452
308.950923681,3.20307
309.95399332,3.203452
310.956975698,3.20307
311.959893227,3.203452
312.962907076,3.20307
313.965869665,3.203452
314.969256401,3.20307
315.972204685,3.202688
316.975239038,3.20307
317.978593349,3.20307
318.981533766,3.20307
319.984525681,3.20307
320.987514496,3.203452
321.99057579,3.20307
322.993518829,3.20307
323.996492863,3.20307
324.999526978,3.20307
326.002604723,3.203452
327.005522013,3.203452
328.00849247,3.20307
329.011508703,3.20307
330.014573336,3.203452
331.01749897,3.20307
332.020501852,3.20307
333.023472548,3.20307
334.026571512,3.20307
335.029436588,3.20307
336.032485723,3.203452
337.03546524,3.20307
338.038532972,3.203452
339.041459799,3.203452
340.044448137,3.20307
341.047425508,3.203452
342.050508499,3.203452
343.053348303,3.203452
344.056385994,3.203452
345.05941391,3.203452
346.06246829,3.203452
347.06540823,3.20307
348.068377495,3.20307
349.071377277,3.20307
350.074444056,3.203452
351.077338457,3.20307
352.080377817,3.20307
353.083351851,3.20307
354.086418152,3.20307
355.08934164,3.20307
356.092355967,3.20307
357.095299006,3.20307
358.098399401,3.203452
359.101326704,3.20307
360.104607582,3.20307
361.10767293,3.203452
362.110685825,3.20307
363.113693476,3.203452
364.116634846,3.203452
365.119638443,3.20307
366.122793436,3.203452
367.125623465,3.20307
368.128570795,3.20307
369.131552696,3.203452
370.134619236,3.20307
371.137533665,3.20307
