# 20191023-155404-t,V1,V2,V3,I
0.000592708587646,2.988768,3.19352,3.194284,0.0
0.491180419922,2.98915,3.19352,3.194284,0.0
1.49383282661,2.98915,3.19352,3.194284,0.0
2.49638986588,2.98915,3.19352,3.194284,0.0
3.4988257885,2.988768,3.19352,3.194284,0.0
4.50178003311,2.98915,3.19352,3.194284,0.0
5.50454735756,2.98915,3.193902,3.194284,0.0
6.50728535652,2.98915,3.19352,3.194284,0.0
7.50990343094,2.98915,3.19352,3.194284,0.0
8.5126080513,2.98915,3.19352,3.194284,0.0
9.51536417007,2.98915,3.19352,3.194284,0.0
10.5181355476,2.98915,3.193902,3.194284,0.0
11.5203983784,2.988768,3.19352,3.194284,0.0
12.5234768391,2.98915,3.19352,3.194284,0.0
13.5261058807,2.98915,3.19352,3.194284,0.0
14.5288467407,2.988768,3.19352,3.194284,0.0
15.5315468311,2.98915,3.19352,3.194284,0.0
16.5342774391,2.98915,3.19352,3.194284,0.0
17.5368628502,2.988768,3.19352,3.194284,0.0
18.5396201611,2.98915,3.19352,3.194284,0.0
19.5422768593,2.988768,3.19352,3.194284,0.0
20.5449690819,2.988768,3.19352,3.194284,0.0
21.5473563671,2.98915,3.19352,3.194284,0.0
22.5500597954,2.98915,3.193902,3.194284,0.0
23.5530700684,2.988768,3.19352,3.194284,0.0
24.5557394028,2.98915,3.19352,3.194284,0.0
25.5578768253,2.98915,3.19352,3.194284,0.0
26.5605134964,2.988768,3.19352,3.194284,0.0
27.5635178089,2.98915,3.19352,3.194284,0.0
28.5662622452,2.988768,3.19352,3.194284,0.0
29.5689077377,2.98915,3.19352,3.194284,0.0
30.5716061592,2.98915,3.19352,3.194284,0.0
31.5743243694,2.988768,3.19352,3.194284,0.0
32.5773661137,2.98915,3.19352,3.194284,0.0
33.5798156261,2.988768,3.19352,3.194284,0.0
34.5823600292,2.988768,3.19352,3.194284,0.0
35.585041523,2.98915,3.19352,3.194284,0.0
36.5880665779,2.98915,3.19352,3.194284,0.0
37.5908913612,2.988768,3.19352,3.194284,0.0
38.5935595036,2.98915,3.19352,3.194284,0.0
39.5961961746,2.98915,3.19352,3.194284,0.0
40.5985617638,2.98915,3.193902,3.194284,0.0
41.6015546322,2.98915,3.19352,3.194284,0.0
42.6039321423,2.989532,3.193902,3.194284,0.0
43.6065077782,2.98915,3.19352,3.194284,0.0
44.6093773842,2.98915,3.19352,3.194284,0.0
45.6117286682,2.988768,3.193902,3.194284,0.0
46.6147842407,2.98915,3.19352,3.194284,0.0
47.6174156666,2.98915,3.19352,3.194284,0.0
48.6201276779,2.98915,3.19352,3.194284,0.0
49.6226119995,2.988768,3.193138,3.194284,0.0
50.6255011559,2.98915,3.19352,3.194284,0.0
51.6278829575,2.988768,3.19352,3.194284,0.0
52.6310417652,2.98915,3.19352,3.194284,0.0
53.6335487366,2.988768,3.19352,3.194284,0.0
54.6359057426,2.98915,3.19352,3.194284,0.0
55.6390583515,2.98915,3.19352,3.194284,0.0
56.6416599751,2.98915,3.19352,3.194284,0.0
57.6443483829,2.98915,3.19352,3.194284,0.0
58.647154808,2.98915,3.193902,3.194284,0.0
59.6494493484,2.98915,3.19352,3.194284,0.0
60.6524393559,2.98915,3.19352,3.194284,0.0
61.6552011967,2.98915,3.19352,3.194284,0.0
62.6578636169,2.98915,3.19352,3.194284,0.0
63.6604731083,2.98915,3.19352,3.194284,0.0
64.7450966835,2.98915,3.19352,3.194284,0.0
65.6670475006,2.98915,3.19352,3.194284,0.0
66.6696276665,2.98915,3.19352,3.194284,0.0
67.6720290184,2.98915,3.19352,3.194284,0.0
68.6752743721,2.98915,3.193902,3.194284,0.0
69.6776621342,2.98915,3.19352,3.194284,0.0
70.6804068089,2.98915,3.19352,3.194284,0.0
71.6828486919,2.98915,3.19352,3.194284,0.0
72.6858189106,2.98915,3.193902,3.194284,0.0
73.6884915829,2.98915,3.193902,3.194284,0.0
74.6912577152,2.98915,3.193902,3.194284,0.0
75.6938557625,2.98915,3.19352,3.194284,0.0
76.6965241432,2.98915,3.193902,3.194284,0.0
77.6993415356,2.98915,3.19352,3.194284,0.0
78.7019519806,2.98915,3.19352,3.194284,0.0
79.7046356201,2.98915,3.193902,3.194284,0.0
80.7076177597,2.98915,3.19352,3.194284,0.0
81.7100372314,2.98915,3.193902,3.194284,0.0
82.7973663807,2.98915,3.19352,3.194284,0.0
83.7161080837,2.98915,3.19352,3.194284,0.0
84.7188308239,2.988768,3.19352,3.194284,0.0
85.7215287685,2.98915,3.19352,3.194284,0.0
86.7241756916,2.98915,3.19352,3.194284,0.0
87.7265946865,2.988768,3.19352,3.194284,0.0
88.7295238972,2.988768,3.19352,3.194284,0.0
89.8063263893,2.98915,3.19352,3.194284,0.0
90.7354338169,2.98915,3.19352,3.194284,0.0
91.7383692265,2.988768,3.19352,3.194284,0.0
92.8144114017,2.98915,3.193902,3.194284,0.0
93.7447090149,2.98915,3.19352,3.194284,0.0
94.8227906227,2.98915,3.19352,3.194284,0.0
95.8287065029,2.98915,3.193902,3.194284,0.0
96.8359267712,2.98915,3.19352,3.194284,0.0
97.8358464241,2.988768,3.193902,3.194284,0.0
98.8438336849,2.98915,3.19352,3.194284,0.0
99.7647097111,2.988768,3.19352,3.194284,0.0
100.767377138,2.988768,3.193138,3.194284,0.0
101.770501614,2.988768,3.19352,3.194284,0.0
102.77280736,2.98915,3.19352,3.194284,0.0
103.776215792,2.988768,3.19352,3.194284,0.0
104.778139114,2.98915,3.19352,3.194284,0.0
105.781186581,2.988768,3.19352,3.194284,0.0
106.783810854,2.98915,3.19352,3.194284,0.0
107.786592007,2.98915,3.19352,3.194284,0.0
108.78926158,2.98915,3.19352,3.194284,0.0
109.791879416,2.98915,3.193902,3.194284,0.0
110.794743061,2.98915,3.193902,3.194284,0.0
111.797019243,2.98915,3.19352,3.194284,0.0
112.800046206,2.98915,3.19352,3.194284,0.0
113.802831411,2.98915,3.19352,3.194284,0.0
114.805424452,2.98915,3.193902,3.194284,0.0
115.808096409,2.98915,3.19352,3.194284,0.0
116.810484886,2.98915,3.19352,3.194284,0.0
117.813500643,2.98915,3.193902,3.194284,0.0
118.816159487,2.98915,3.19352,3.194284,0.0
119.818967819,2.98915,3.193902,3.194284,0.0
120.821634769,2.98915,3.193902,3.194284,0.0
121.82425189,2.98915,3.193902,3.194284,0.0
122.827049017,2.98915,3.193902,3.194284,0.0
123.829341173,2.989532,3.193902,3.194284,0.0
124.832298517,2.98915,3.19352,3.194284,0.0
125.835083485,2.988768,3.193902,3.194284,0.0
126.837785006,2.98915,3.19352,3.194284,0.0
